		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 255.984375	M = 131072	N = 8	m = 9	n = 1048576
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111000000  247  260  267  250  262  258  262  257  1.339276 0.995066 SUCCESS 118
111000010  260  271  281  262  267  260  243  248  5.144957 0.741977 SUCCESS 119
111000100  257  265  289  240  251  256  302  249 14.621851 0.066929 SUCCESS 120
111000110  251  239  271  262  253  270  250  227  6.691801 0.570220 SUCCESS 121
111001000  243  242  227  253  264  276  264  269  7.723998 0.460885 SUCCESS 122
111001010  239  263  290  260  270  252  258  271  7.889781 0.444310 SUCCESS 123
111001100  264  247  221  260  256  267  267  254  6.592432 0.581174 SUCCESS 124
111010000  264  263  247  242  245  256  278  232  6.344831 0.608666 SUCCESS 125
111010010  259  224  241  236  249  239  244  252  8.697988 0.368410 SUCCESS 126
111010100  261  244  240  249  263  270  273  257  4.077912 0.850026 SUCCESS 127
111010110  252  270  252  274  218  261  242  234 10.907457 0.206998 SUCCESS 128
111011000  243  238  268  244  250  243  258  260  4.059099 0.851752 SUCCESS 129
111011010  238  253  261  255  247  250  249  250  2.260993 0.971947 SUCCESS 130
111011100  288  249  242  251  256  282  271  283 11.823493 0.159255 SUCCESS 131
111100000  236  245  274  277  253  241  271  285 10.452786 0.234672 SUCCESS 132
111100010  268  267  290  266  255  261  273  253  7.465286 0.487361 SUCCESS 133
111100100  231  247  231  252  265  284  264  245  9.681195 0.288119 SUCCESS 134
111100110  260  258  263  271  239  245  249  251  3.141927 0.925137 SUCCESS 135
111101000  274  249  259  276  259  248  281  248  6.244200 0.619899 SUCCESS 136
111101010  237  256  239  247  233  249  249  265  5.804932 0.669072 SUCCESS 137
111101100  258  236  243  247  251  247  260  255  3.132962 0.925738 SUCCESS 138
111101110  247  237  235  240  221  265  270  270 11.454680 0.177243 SUCCESS 139
111110000  252  272  277  246  257  251  228  260  6.621599 0.577954 SUCCESS 140
111110010  245  256  242  272  269  269  240  246  5.118063 0.744886 SUCCESS 141
111110100  281  259  243  277  248  249  250  213 13.095462 0.108607 SUCCESS 142
111110110  264  255  245  238  265  252  276  273  5.238897 0.731764 SUCCESS 143
111111000  249  276  297  253  244  260  235  242 11.863644 0.157392 SUCCESS 144
111111010  262  239  234  253  233  279  254  242  8.381321 0.397135 SUCCESS 145
111111100  272  268  275  274  238  250  237  248  7.557331 0.477859 SUCCESS 146
111111110  277  266  252  265  267  261  247  251  3.600765 0.891230 SUCCESS 147

